,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
2699,r programming,system designing,medium,Software Engineering,developer,BPA,yes,Network Security Engineer
2700,python,database security,medium,networks,testing,product development,no,Network Security Engineer
2701,full stack,testing,poor,parallel computing,Business process analyst,Finance,yes,Network Security Engineer
2702,shell programming,data science,excellent,cloud computing,developer,Service Based,no,Network Security Engineer
2703,full stack,testing,excellent,Software Engineering,Business process analyst,Finance,no,Network Security Engineer
2704,python,cloud computing,excellent,Software Engineering,system developer,Testing and Maintainance Services,yes,Network Security Engineer
2705,distro making,data science,medium,Computer Architecture,testing,Service Based,no,Network Security Engineer
2706,information security,data science,medium,networks,cloud computing,product development,no,Network Security Engineer
2707,distro making,hacking,medium,parallel computing,system developer,product development,no,Network Security Engineer
2708,machine learning,hacking,poor,Computer Architecture,cloud computing,Service Based,no,Network Security Engineer
2709,machine learning,hacking,excellent,Computer Architecture,cloud computing,BPA,no,Network Security Engineer
2710,hadoop,database security,poor,programming,system developer,Product based,no,Network Security Engineer
2711,machine learning,testing,poor,Software Engineering,Business process analyst,Cloud Services,no,Network Security Engineer
2712,shell programming,testing,medium,parallel computing,testing,product development,yes,Network Security Engineer
2713,hadoop,database security,excellent,IOT,testing,Web Services,yes,Network Security Engineer
2714,shell programming,testing,poor,cloud computing,developer,Web Services,yes,Network Security Engineer
2715,full stack,system designing,medium,programming,developer,Cloud Services,no,Network Security Engineer
2716,r programming,cloud computing,poor,Computer Architecture,Business process analyst,BPA,no,Network Security Engineer
2717,machine learning,system designing,excellent,parallel computing,cloud computing,Service Based,yes,Network Security Engineer
2718,shell programming,testing,poor,networks,system developer,SAaS services,no,Network Security Engineer
2719,machine learning,game development,poor,IOT,Business process analyst,Service Based,yes,Network Security Engineer
2720,distro making,cloud computing,poor,IOT,cloud computing,Finance,yes,Network Security Engineer
2721,machine learning,web technologies,excellent,networks,Business process analyst,BPA,yes,Network Security Engineer
2722,hadoop,system designing,medium,data engineering,cloud computing,Finance,yes,Network Security Engineer
2723,distro making,data science,medium,programming,system developer,BPA,no,Network Security Engineer
2724,machine learning,system designing,excellent,Management,Business process analyst,Sales and Marketing,no,Network Security Engineer
2725,python,cloud computing,poor,data engineering,Business process analyst,BPA,no,Network Security Engineer
2726,full stack,game development,excellent,Computer Architecture,system developer,Finance,no,Network Security Engineer
2727,python,cloud computing,medium,networks,system developer,BPA,no,Network Security Engineer
2728,distro making,hacking,medium,Management,security,Service Based,no,Network Security Engineer
2729,shell programming,database security,poor,Management,developer,product development,yes,Network Security Engineer
2730,hadoop,web technologies,medium,Software Engineering,cloud computing,Testing and Maintainance Services,no,Network Security Engineer
2731,shell programming,hacking,medium,Computer Architecture,cloud computing,Sales and Marketing,yes,Network Security Engineer
2732,hadoop,cloud computing,medium,parallel computing,testing,Cloud Services,yes,Network Security Engineer
2733,information security,game development,medium,Computer Architecture,testing,Service Based,no,Network Security Engineer
2734,full stack,database security,excellent,networks,developer,Cloud Services,no,Network Security Engineer
2735,shell programming,hacking,excellent,parallel computing,Business process analyst,Finance,yes,Network Security Engineer
2736,r programming,hacking,poor,data engineering,cloud computing,Product based,no,Network Security Engineer
2737,shell programming,game development,excellent,networks,system developer,Finance,yes,Network Security Engineer
2738,information security,database security,medium,parallel computing,Business process analyst,SAaS services,yes,Network Security Engineer
2739,full stack,hacking,medium,networks,security,BPA,yes,Network Security Engineer
2740,hadoop,data science,medium,Software Engineering,testing,SAaS services,yes,Network Security Engineer
2741,r programming,web technologies,medium,networks,Business process analyst,Cloud Services,no,Network Security Engineer
2742,app development,database security,medium,IOT,Business process analyst,Service Based,no,Network Security Engineer
2743,shell programming,data science,poor,data engineering,Business process analyst,Web Services,yes,Network Security Engineer
2744,hadoop,cloud computing,excellent,Software Engineering,security,BPA,yes,Network Security Engineer
2745,machine learning,web technologies,excellent,Management,cloud computing,Finance,no,Network Security Engineer
2746,full stack,system designing,poor,parallel computing,testing,Service Based,no,Network Security Engineer
2747,python,game development,excellent,Management,security,Cloud Services,no,Network Security Engineer
2748,python,game development,excellent,networks,developer,product development,no,Network Security Engineer
2749,python,web technologies,excellent,Software Engineering,security,Sales and Marketing,no,Network Security Engineer
2750,distro making,data science,medium,cloud computing,security,Web Services,yes,Network Security Engineer
2751,python,database security,medium,cloud computing,developer,Testing and Maintainance Services,no,Network Security Engineer
2752,distro making,testing,poor,hacking,cloud computing,BPA,no,Network Security Engineer
2753,app development,database security,medium,hacking,cloud computing,Product based,no,Network Security Engineer
2754,machine learning,cloud computing,poor,Software Engineering,security,Web Services,yes,Network Security Engineer
2755,hadoop,web technologies,poor,programming,developer,Service Based,no,Network Security Engineer
2756,distro making,cloud computing,excellent,IOT,cloud computing,Web Services,no,Network Security Engineer
2757,information security,game development,excellent,Software Engineering,Business process analyst,product development,no,Network Security Engineer
2758,app development,hacking,excellent,IOT,cloud computing,Web Services,yes,Network Security Engineer
2759,hadoop,hacking,poor,cloud computing,cloud computing,Finance,no,Network Security Engineer
2760,full stack,data science,medium,Software Engineering,system developer,Testing and Maintainance Services,yes,Network Security Engineer
2761,hadoop,cloud computing,medium,parallel computing,developer,Product based,no,Network Security Engineer
2762,r programming,database security,excellent,parallel computing,security,Sales and Marketing,yes,Network Security Engineer
2763,shell programming,hacking,medium,IOT,Business process analyst,Cloud Services,no,Network Security Engineer
2764,information security,hacking,medium,hacking,testing,Service Based,yes,Network Security Engineer
2765,app development,testing,excellent,Management,security,product development,yes,Network Security Engineer
2766,r programming,testing,excellent,data engineering,cloud computing,Service Based,no,Network Security Engineer
2767,hadoop,hacking,poor,IOT,security,Cloud Services,no,Network Security Engineer
2768,hadoop,web technologies,excellent,networks,system developer,Sales and Marketing,yes,Network Security Engineer
2769,r programming,game development,excellent,IOT,cloud computing,Cloud Services,yes,Network Security Engineer
2770,r programming,data science,medium,networks,security,Service Based,yes,Network Security Engineer
2771,shell programming,cloud computing,excellent,Software Engineering,security,Finance,no,Network Security Engineer
2772,distro making,database security,excellent,cloud computing,testing,Service Based,yes,Network Security Engineer
2773,information security,cloud computing,excellent,Computer Architecture,system developer,SAaS services,yes,Network Security Engineer
2774,r programming,database security,excellent,IOT,system developer,Web Services,no,Network Security Engineer
2775,distro making,cloud computing,medium,IOT,security,Sales and Marketing,yes,Network Security Engineer
2776,shell programming,cloud computing,excellent,parallel computing,Business process analyst,Product based,yes,Network Security Engineer
2777,distro making,cloud computing,excellent,IOT,system developer,Testing and Maintainance Services,yes,Network Security Engineer
2778,shell programming,game development,poor,cloud computing,system developer,Service Based,yes,Network Security Engineer
2779,app development,system designing,excellent,Computer Architecture,developer,Product based,yes,Network Security Engineer
2780,information security,game development,medium,Software Engineering,cloud computing,Web Services,yes,Network Security Engineer
2781,python,testing,poor,data engineering,testing,SAaS services,no,Network Security Engineer
2782,information security,web technologies,excellent,networks,security,Testing and Maintainance Services,yes,Network Security Engineer
2783,full stack,cloud computing,medium,IOT,system developer,BPA,no,Network Security Engineer
2784,python,database security,excellent,cloud computing,security,Finance,yes,Network Security Engineer
2785,python,web technologies,excellent,data engineering,Business process analyst,Web Services,no,Network Security Engineer
2786,full stack,web technologies,medium,networks,security,Service Based,yes,Network Security Engineer
2787,r programming,testing,medium,hacking,cloud computing,Finance,yes,Network Security Engineer
2788,machine learning,cloud computing,excellent,hacking,security,Finance,yes,Network Security Engineer
2789,r programming,database security,poor,networks,testing,Finance,no,Network Security Engineer
2790,r programming,hacking,excellent,programming,Business process analyst,Sales and Marketing,yes,Network Security Engineer
2791,app development,cloud computing,medium,hacking,developer,Service Based,no,Network Security Engineer
2792,hadoop,system designing,poor,parallel computing,system developer,Finance,yes,Network Security Engineer
2793,distro making,cloud computing,excellent,parallel computing,system developer,Finance,no,Network Security Engineer
2794,information security,database security,medium,cloud computing,developer,Service Based,no,Network Security Engineer
2795,information security,system designing,excellent,networks,system developer,BPA,no,Network Security Engineer
2796,full stack,testing,poor,networks,security,SAaS services,yes,Network Security Engineer
2797,full stack,data science,excellent,parallel computing,cloud computing,Service Based,yes,Network Security Engineer
2798,machine learning,data science,medium,networks,Business process analyst,Sales and Marketing,yes,Network Security Engineer
2799,hadoop,cloud computing,poor,programming,system developer,Product based,no,Network Security Engineer
2800,shell programming,hacking,excellent,data engineering,developer,BPA,yes,Network Security Engineer
2801,hadoop,database security,poor,data engineering,system developer,BPA,yes,Network Security Engineer
2802,hadoop,hacking,medium,networks,cloud computing,Product based,yes,Network Security Engineer
2803,full stack,web technologies,medium,Management,testing,Sales and Marketing,yes,Network Security Engineer
2804,full stack,web technologies,poor,IOT,testing,Cloud Services,yes,Network Security Engineer
2805,hadoop,database security,medium,data engineering,cloud computing,Web Services,no,Network Security Engineer
2806,machine learning,cloud computing,poor,Management,system developer,Testing and Maintainance Services,no,Network Security Engineer
2807,app development,web technologies,medium,Computer Architecture,system developer,Sales and Marketing,no,Network Security Engineer
2808,full stack,testing,medium,Computer Architecture,testing,Web Services,no,Network Security Engineer
2809,r programming,data science,excellent,parallel computing,developer,Sales and Marketing,no,Network Security Engineer
2810,shell programming,testing,poor,Management,system developer,Finance,no,Network Security Engineer
2811,python,database security,medium,Computer Architecture,developer,Web Services,yes,Network Security Engineer
2812,full stack,testing,medium,IOT,cloud computing,Finance,no,Network Security Engineer
2813,full stack,cloud computing,poor,parallel computing,system developer,Cloud Services,yes,Network Security Engineer
2814,information security,system designing,medium,data engineering,developer,Testing and Maintainance Services,yes,Network Security Engineer
2815,machine learning,cloud computing,excellent,Management,developer,Web Services,yes,Network Security Engineer
2816,information security,hacking,excellent,parallel computing,Business process analyst,product development,no,Network Security Engineer
2817,machine learning,web technologies,medium,cloud computing,security,Sales and Marketing,yes,Network Security Engineer
2818,machine learning,database security,poor,Software Engineering,Business process analyst,BPA,no,Network Security Engineer
2819,full stack,cloud computing,medium,hacking,Business process analyst,BPA,no,Network Security Engineer
2820,information security,web technologies,medium,hacking,security,BPA,yes,Network Security Engineer
2821,r programming,hacking,medium,Computer Architecture,security,Web Services,no,Network Security Engineer
2822,shell programming,data science,poor,cloud computing,security,Web Services,yes,Network Security Engineer
2823,python,system designing,medium,parallel computing,security,Sales and Marketing,yes,Network Security Engineer
2824,hadoop,system designing,excellent,networks,security,Web Services,no,Network Security Engineer
2825,python,game development,excellent,programming,Business process analyst,BPA,yes,Network Security Engineer
2826,app development,database security,medium,Computer Architecture,Business process analyst,SAaS services,no,Network Security Engineer
2827,hadoop,cloud computing,poor,data engineering,Business process analyst,Web Services,no,Network Security Engineer
2828,distro making,database security,medium,programming,developer,BPA,yes,Network Security Engineer
2829,hadoop,hacking,poor,programming,Business process analyst,Finance,yes,Network Security Engineer
2830,distro making,hacking,medium,Computer Architecture,developer,Finance,yes,Network Security Engineer
2831,shell programming,game development,medium,networks,developer,Cloud Services,no,Network Security Engineer
2832,full stack,database security,excellent,hacking,Business process analyst,BPA,yes,Network Security Engineer
2833,hadoop,game development,medium,Software Engineering,cloud computing,Web Services,yes,Network Security Engineer
2834,shell programming,data science,poor,data engineering,testing,Product based,yes,Network Security Engineer
2835,full stack,game development,excellent,Computer Architecture,Business process analyst,SAaS services,no,Network Security Engineer
2836,machine learning,hacking,excellent,hacking,security,SAaS services,no,Network Security Engineer
2837,full stack,hacking,excellent,Management,system developer,Testing and Maintainance Services,no,Network Security Engineer
2838,shell programming,game development,medium,IOT,testing,Service Based,no,Network Security Engineer
2839,hadoop,cloud computing,medium,networks,Business process analyst,Sales and Marketing,no,Network Security Engineer
2840,python,testing,excellent,programming,testing,Cloud Services,no,Network Security Engineer
2841,python,data science,medium,data engineering,testing,Cloud Services,no,Network Security Engineer
2842,python,web technologies,excellent,Computer Architecture,security,product development,no,Network Security Engineer
2843,app development,game development,excellent,programming,testing,Cloud Services,no,Network Security Engineer
2844,machine learning,hacking,medium,Software Engineering,Business process analyst,Service Based,yes,Network Security Engineer
2845,hadoop,game development,poor,Software Engineering,cloud computing,Testing and Maintainance Services,no,Network Security Engineer
2846,information security,web technologies,medium,data engineering,Business process analyst,SAaS services,no,Network Security Engineer
2847,r programming,game development,medium,Software Engineering,Business process analyst,Web Services,no,Network Security Engineer
2848,distro making,system designing,excellent,networks,security,BPA,yes,Network Security Engineer
2849,python,database security,medium,cloud computing,system developer,Service Based,no,Network Security Engineer
2850,python,game development,medium,data engineering,security,Web Services,yes,Network Security Engineer
2851,app development,data science,medium,hacking,developer,Testing and Maintainance Services,yes,Network Security Engineer
2852,shell programming,testing,poor,programming,developer,Finance,yes,Network Security Engineer
2853,distro making,testing,poor,data engineering,cloud computing,Cloud Services,no,Network Security Engineer
2854,r programming,cloud computing,excellent,IOT,developer,Sales and Marketing,yes,Network Security Engineer
2855,distro making,cloud computing,poor,Management,security,SAaS services,no,Network Security Engineer
2856,python,web technologies,medium,programming,security,Sales and Marketing,yes,Network Security Engineer
2857,python,web technologies,excellent,Software Engineering,security,Web Services,yes,Network Security Engineer
2858,app development,web technologies,poor,Software Engineering,system developer,SAaS services,yes,Network Security Engineer
2859,hadoop,database security,poor,Management,security,Service Based,no,Network Security Engineer
2860,information security,system designing,medium,IOT,Business process analyst,SAaS services,no,Network Security Engineer
2861,python,data science,poor,Management,testing,Product based,yes,Network Security Engineer
2862,information security,database security,poor,Software Engineering,Business process analyst,BPA,yes,Network Security Engineer
2863,python,database security,medium,parallel computing,testing,Sales and Marketing,yes,Network Security Engineer
2864,full stack,database security,medium,data engineering,system developer,SAaS services,no,Network Security Engineer
2865,python,hacking,medium,Computer Architecture,testing,Web Services,yes,Network Security Engineer
2866,r programming,testing,excellent,Computer Architecture,system developer,product development,yes,Network Security Engineer
2867,app development,web technologies,excellent,Software Engineering,cloud computing,Web Services,no,Software Developer
2868,python,data science,medium,cloud computing,security,Service Based,no,Software Developer
2869,information security,system designing,medium,hacking,testing,product development,yes,Software Developer
2870,machine learning,cloud computing,poor,Computer Architecture,security,Service Based,no,Software Developer
2871,app development,system designing,excellent,Management,system developer,BPA,yes,Software Developer
2872,full stack,game development,excellent,Computer Architecture,system developer,SAaS services,yes,Software Developer
2873,python,database security,medium,hacking,developer,product development,no,Software Developer
2874,machine learning,database security,excellent,IOT,system developer,Testing and Maintainance Services,yes,Software Developer
2875,information security,game development,poor,programming,developer,BPA,yes,Software Developer
2876,app development,data science,excellent,parallel computing,cloud computing,BPA,yes,Software Developer
2877,app development,web technologies,poor,networks,testing,Sales and Marketing,yes,Software Developer
2878,machine learning,hacking,poor,data engineering,developer,SAaS services,no,Software Developer
2879,machine learning,cloud computing,excellent,networks,system developer,Testing and Maintainance Services,yes,Software Developer
2880,information security,hacking,poor,data engineering,testing,Product based,no,Software Developer
2881,r programming,system designing,poor,programming,security,SAaS services,yes,Software Developer
2882,machine learning,game development,medium,cloud computing,developer,BPA,no,Software Developer
2883,r programming,web technologies,excellent,programming,testing,Cloud Services,yes,Software Developer
2884,hadoop,testing,medium,parallel computing,Business process analyst,BPA,no,Software Developer
2885,machine learning,system designing,excellent,Management,Business process analyst,Sales and Marketing,no,Software Developer
2886,full stack,game development,poor,hacking,security,Sales and Marketing,yes,Software Developer
2887,r programming,testing,poor,Management,system developer,Web Services,yes,Software Developer
2888,distro making,hacking,medium,Computer Architecture,security,Service Based,yes,Software Developer
2889,shell programming,testing,medium,networks,Business process analyst,Sales and Marketing,yes,Software Developer
2890,information security,hacking,excellent,networks,Business process analyst,Sales and Marketing,no,Software Developer
2891,shell programming,system designing,medium,Management,security,BPA,yes,Software Developer
2892,r programming,web technologies,excellent,parallel computing,cloud computing,Sales and Marketing,yes,Software Developer
2893,hadoop,data science,poor,Software Engineering,developer,Finance,no,Software Developer
2894,hadoop,testing,medium,Management,security,Testing and Maintainance Services,yes,Software Developer
2895,r programming,data science,excellent,networks,Business process analyst,Product based,yes,Software Developer
2896,python,system designing,poor,data engineering,testing,BPA,yes,Software Developer
2897,information security,game development,poor,networks,testing,Cloud Services,yes,Software Developer
2898,machine learning,system designing,medium,Computer Architecture,cloud computing,Testing and Maintainance Services,yes,Software Developer
2899,shell programming,web technologies,poor,networks,cloud computing,product development,no,Software Developer
2900,distro making,cloud computing,excellent,hacking,security,product development,yes,Software Developer
2901,r programming,system designing,poor,data engineering,security,product development,yes,Software Developer
2902,r programming,web technologies,medium,Computer Architecture,testing,SAaS services,yes,Software Developer
2903,information security,database security,excellent,Software Engineering,testing,Service Based,yes,Software Developer
2904,information security,system designing,poor,Software Engineering,Business process analyst,Testing and Maintainance Services,no,Software Developer
2905,app development,testing,medium,IOT,Business process analyst,Service Based,no,Software Developer
2906,full stack,cloud computing,poor,Computer Architecture,security,Testing and Maintainance Services,no,Software Developer
2907,python,web technologies,excellent,networks,cloud computing,Cloud Services,no,Software Developer
2908,full stack,game development,poor,programming,testing,BPA,yes,Software Developer
2909,distro making,hacking,excellent,IOT,cloud computing,Finance,yes,Software Developer
2910,python,hacking,medium,networks,developer,Web Services,yes,Software Developer
2911,shell programming,data science,poor,data engineering,Business process analyst,BPA,yes,Software Developer
2912,shell programming,web technologies,excellent,data engineering,developer,BPA,yes,Software Developer
2913,app development,database security,excellent,Computer Architecture,security,Testing and Maintainance Services,yes,Software Developer
2914,shell programming,testing,excellent,data engineering,Business process analyst,Sales and Marketing,no,Software Developer
2915,r programming,game development,excellent,Management,cloud computing,Web Services,no,Software Developer
2916,machine learning,game development,poor,Management,cloud computing,Product based,no,Software Developer
2917,information security,testing,medium,Management,developer,Testing and Maintainance Services,yes,Software Developer
2918,information security,testing,medium,Management,testing,Cloud Services,no,Software Developer
2919,app development,web technologies,poor,parallel computing,testing,Finance,no,Software Developer
2920,information security,hacking,poor,IOT,security,BPA,yes,Software Developer
2921,machine learning,database security,excellent,IOT,security,SAaS services,no,Software Developer
2922,python,game development,medium,cloud computing,Business process analyst,Sales and Marketing,yes,Software Developer
2923,machine learning,game development,medium,parallel computing,system developer,Web Services,yes,Software Developer
2924,python,cloud computing,medium,parallel computing,security,Service Based,yes,Software Developer
2925,information security,game development,medium,networks,cloud computing,SAaS services,yes,Software Developer
2926,app development,database security,excellent,programming,security,Finance,yes,Software Developer
2927,distro making,database security,poor,hacking,testing,Testing and Maintainance Services,no,Software Developer
2928,information security,game development,excellent,programming,security,Testing and Maintainance Services,no,Software Developer
2929,app development,system designing,medium,Software Engineering,system developer,Cloud Services,no,Software Developer
2930,information security,web technologies,poor,hacking,developer,Product based,no,Software Developer
2931,information security,testing,poor,data engineering,system developer,Sales and Marketing,no,Software Developer
2932,python,web technologies,excellent,parallel computing,security,Web Services,yes,Software Developer
2933,shell programming,web technologies,medium,programming,security,Web Services,yes,Software Developer
2934,python,hacking,medium,networks,security,Product based,yes,Software Developer
2935,machine learning,cloud computing,poor,networks,Business process analyst,SAaS services,no,Software Developer
2936,shell programming,testing,poor,programming,system developer,Product based,no,Software Developer
2937,information security,system designing,medium,networks,security,Sales and Marketing,yes,Software Developer
2938,shell programming,cloud computing,medium,Computer Architecture,developer,Web Services,yes,Software Developer
2939,python,testing,excellent,networks,system developer,product development,no,Software Developer
2940,machine learning,web technologies,poor,networks,cloud computing,BPA,no,Software Developer
2941,app development,game development,medium,Software Engineering,cloud computing,Finance,no,Software Developer
2942,full stack,data science,excellent,programming,developer,Web Services,yes,Software Developer
2943,full stack,web technologies,medium,programming,Business process analyst,SAaS services,no,Software Developer
2944,app development,hacking,excellent,parallel computing,cloud computing,BPA,no,Software Developer
2945,r programming,testing,medium,IOT,system developer,SAaS services,yes,Software Developer
2946,information security,system designing,poor,Management,cloud computing,Service Based,no,Software Developer
2947,python,testing,medium,hacking,cloud computing,Cloud Services,yes,Software Developer
2948,shell programming,cloud computing,poor,Software Engineering,security,Cloud Services,no,Software Developer
2949,distro making,web technologies,medium,Management,developer,Product based,no,Software Developer
2950,full stack,cloud computing,poor,Software Engineering,developer,Product based,no,Software Developer
2951,r programming,cloud computing,excellent,Software Engineering,testing,product development,yes,Software Developer
2952,hadoop,data science,medium,parallel computing,system developer,BPA,yes,Software Developer
2953,python,hacking,poor,cloud computing,testing,Service Based,yes,Software Developer
2954,python,system designing,excellent,hacking,developer,Sales and Marketing,yes,Software Developer
2955,shell programming,data science,poor,programming,Business process analyst,Testing and Maintainance Services,yes,Software Developer
2956,full stack,hacking,poor,data engineering,system developer,product development,yes,Software Developer
2957,distro making,system designing,excellent,IOT,Business process analyst,Testing and Maintainance Services,no,Software Developer
2958,distro making,hacking,poor,parallel computing,developer,Product based,yes,Software Developer
2959,shell programming,database security,excellent,IOT,security,SAaS services,yes,Software Developer
2960,shell programming,cloud computing,medium,IOT,system developer,SAaS services,yes,Software Developer
2961,shell programming,testing,poor,parallel computing,cloud computing,Finance,no,Software Developer
2962,app development,cloud computing,medium,Management,developer,Web Services,yes,Software Developer
2963,machine learning,testing,poor,IOT,cloud computing,Cloud Services,no,Software Developer
2964,r programming,cloud computing,medium,Computer Architecture,system developer,Web Services,yes,Software Developer
2965,r programming,web technologies,medium,Computer Architecture,Business process analyst,product development,no,Software Developer
2966,information security,web technologies,poor,Computer Architecture,developer,Web Services,yes,Software Developer
2967,r programming,testing,excellent,parallel computing,system developer,Web Services,no,Software Developer
2968,information security,system designing,poor,data engineering,testing,product development,no,Software Developer
2969,r programming,data science,poor,data engineering,testing,Cloud Services,no,Software Developer
2970,app development,web technologies,medium,Computer Architecture,testing,Testing and Maintainance Services,no,Software Developer
2971,shell programming,testing,poor,Software Engineering,Business process analyst,SAaS services,yes,Software Developer
2972,shell programming,hacking,excellent,Computer Architecture,system developer,Testing and Maintainance Services,no,Software Developer
2973,hadoop,hacking,poor,Management,Business process analyst,Testing and Maintainance Services,yes,Software Developer
2974,information security,testing,poor,IOT,system developer,Cloud Services,yes,Software Developer
2975,r programming,database security,medium,parallel computing,Business process analyst,Testing and Maintainance Services,no,Software Developer
2976,hadoop,web technologies,excellent,data engineering,developer,Sales and Marketing,no,Software Developer
2977,distro making,cloud computing,medium,networks,developer,Sales and Marketing,no,Software Developer
2978,r programming,database security,medium,cloud computing,Business process analyst,Web Services,no,Software Developer
2979,full stack,data science,medium,cloud computing,cloud computing,SAaS services,yes,Software Developer
2980,shell programming,database security,medium,parallel computing,cloud computing,Service Based,yes,Software Developer
2981,hadoop,hacking,poor,networks,Business process analyst,Cloud Services,no,Software Developer
2982,hadoop,game development,medium,hacking,Business process analyst,Web Services,no,Software Developer
2983,python,hacking,medium,hacking,Business process analyst,Finance,no,Software Developer
2984,r programming,database security,medium,hacking,testing,Testing and Maintainance Services,no,Software Developer
2985,app development,web technologies,medium,Management,security,Testing and Maintainance Services,no,Software Developer
2986,information security,database security,excellent,Management,security,Cloud Services,no,Software Developer
2987,full stack,database security,excellent,networks,security,Sales and Marketing,yes,Software Developer
2988,shell programming,system designing,excellent,hacking,Business process analyst,Web Services,no,Software Developer
2989,python,data science,excellent,networks,security,Web Services,yes,Software Developer
2990,hadoop,cloud computing,medium,hacking,system developer,product development,yes,Software Developer
2991,app development,database security,poor,cloud computing,developer,Web Services,yes,Software Developer
2992,python,hacking,excellent,networks,cloud computing,Cloud Services,yes,Software Developer
2993,r programming,data science,medium,Management,system developer,BPA,yes,Software Developer
2994,machine learning,database security,medium,parallel computing,developer,SAaS services,yes,Software Developer
2995,full stack,cloud computing,poor,parallel computing,Business process analyst,Cloud Services,yes,Software Developer
2996,hadoop,system designing,excellent,Management,testing,Testing and Maintainance Services,yes,Software Developer
2997,machine learning,hacking,excellent,Management,cloud computing,BPA,no,Software Developer
2998,app development,web technologies,excellent,programming,security,Product based,no,Software Developer
2999,full stack,testing,poor,cloud computing,system developer,Cloud Services,yes,Software Developer
3000,hadoop,system designing,excellent,cloud computing,cloud computing,product development,yes,Software Developer
3001,information security,system designing,medium,networks,security,SAaS services,no,Software Developer
3002,r programming,testing,excellent,hacking,security,Service Based,no,Software Developer
3003,r programming,system designing,poor,hacking,developer,BPA,no,Software Developer
3004,information security,cloud computing,medium,Management,cloud computing,product development,no,Software Developer
3005,full stack,data science,medium,IOT,developer,product development,no,Software Developer
3006,full stack,cloud computing,excellent,hacking,system developer,Service Based,yes,Software Developer
3007,r programming,data science,poor,Software Engineering,developer,Web Services,no,Software Developer
3008,r programming,system designing,poor,Software Engineering,developer,Product based,no,Software Developer
3009,machine learning,system designing,excellent,networks,developer,Sales and Marketing,yes,Software Developer
3010,information security,system designing,excellent,Computer Architecture,system developer,Product based,no,Software Developer
3011,information security,database security,medium,data engineering,developer,Sales and Marketing,yes,Software Developer
3012,hadoop,data science,poor,hacking,developer,Web Services,no,Software Developer
3013,distro making,data science,poor,data engineering,testing,Testing and Maintainance Services,yes,Software Developer
3014,hadoop,game development,excellent,Software Engineering,security,Finance,yes,Software Developer
3015,app development,web technologies,poor,Computer Architecture,developer,Testing and Maintainance Services,yes,Software Developer
3016,shell programming,web technologies,poor,cloud computing,developer,Finance,yes,Software Developer
3017,machine learning,web technologies,excellent,cloud computing,Business process analyst,SAaS services,yes,Software Developer
3018,python,testing,poor,Computer Architecture,testing,Web Services,no,Software Developer
3019,shell programming,database security,excellent,Computer Architecture,security,Testing and Maintainance Services,no,Software Developer
3020,machine learning,web technologies,medium,networks,Business process analyst,Cloud Services,yes,Software Developer
3021,r programming,game development,poor,Computer Architecture,system developer,SAaS services,yes,Software Developer
3022,distro making,hacking,poor,hacking,testing,Sales and Marketing,no,Software Developer
3023,full stack,testing,poor,programming,security,Finance,no,Software Developer
3024,app development,game development,medium,Management,system developer,product development,yes,Software Developer
3025,information security,database security,poor,Computer Architecture,security,Testing and Maintainance Services,no,Software Developer
3026,r programming,database security,medium,programming,Business process analyst,Cloud Services,yes,Software Developer
3027,shell programming,game development,medium,Management,developer,Finance,no,Software Developer
3028,hadoop,system designing,poor,Computer Architecture,system developer,Testing and Maintainance Services,no,Software Developer
3029,app development,system designing,medium,Computer Architecture,cloud computing,Finance,yes,Software Developer
3030,distro making,system designing,excellent,Computer Architecture,testing,Cloud Services,no,Software Developer
3031,hadoop,cloud computing,medium,Software Engineering,Business process analyst,product development,yes,Software Developer
3032,r programming,system designing,excellent,programming,system developer,Web Services,yes,Software Developer
3033,information security,web technologies,poor,IOT,security,Product based,no,Software Developer
3034,machine learning,system designing,medium,Software Engineering,cloud computing,Cloud Services,no,Software Developer
3035,machine learning,cloud computing,medium,programming,testing,SAaS services,no,Software Developer
3036,shell programming,testing,excellent,parallel computing,cloud computing,Web Services,yes,Software Developer
3037,full stack,system designing,excellent,Management,security,Testing and Maintainance Services,no,Software Developer
3038,machine learning,data science,poor,IOT,system developer,BPA,no,Software Developer
3039,python,game development,excellent,networks,cloud computing,Web Services,no,Software Developer
3040,hadoop,system designing,poor,parallel computing,system developer,Finance,yes,Software Developer
3041,full stack,hacking,medium,data engineering,testing,Web Services,yes,Software Developer
3042,information security,system designing,medium,Management,security,Service Based,yes,Software Developer
3043,distro making,database security,poor,Management,developer,Product based,yes,Software Developer
3044,information security,game development,medium,IOT,cloud computing,Testing and Maintainance Services,yes,Software Developer
3045,full stack,hacking,medium,data engineering,system developer,Service Based,no,Software Developer
3046,machine learning,testing,poor,Software Engineering,developer,product development,no,Software Developer
3047,r programming,game development,medium,Management,cloud computing,SAaS services,yes,Software Developer
3048,information security,game development,poor,Software Engineering,security,Web Services,yes,Software Developer
3049,python,web technologies,excellent,cloud computing,cloud computing,Testing and Maintainance Services,yes,Software Developer
3050,app development,system designing,excellent,programming,system developer,Sales and Marketing,yes,Software Developer
3051,distro making,cloud computing,poor,Computer Architecture,developer,Service Based,yes,Software Developer
3052,r programming,database security,medium,IOT,developer,Web Services,no,Software Developer
3053,full stack,system designing,excellent,Computer Architecture,developer,Product based,yes,Software Developer
3054,shell programming,testing,poor,Management,developer,BPA,no,Software Developer
